HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
GNAQ	DVL1
DVL1	GSK3B
GSK3B	ARNTL
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
MAPK1	ELK4
MAPK1	ETS1
ETS1	SRF
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
MAPK1	ATF4
MAPK1	ATF2
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	PIK3R5
PIK3R5	GSK3B
DRD2	PPP2CA
PPP2CA	WWTR1
WWTR1	LOC400927-CSNK1E
MAPK1	NFKB1
GRIA2	GRIN1
GRIN1	NOS1
NOS1	MAPK1
GRIA2	LYN
LYN	PIK3R5
GRIN1	DLG4
DLG4	WWTR1
GRIN1	CALML6
CALML6	PPP3CA
PPP3CA	NFATC2
NFATC2	SRF
LYN	PRKCA
PRKCA	CREB1
PRKCA	ATF4
PRKCA	ATF2
GRIA3	GRIN1
GRIA3	LYN
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	SCNN1G
GLI3	WNT3
GLI3	WNT8A
GLI3	WNT8B
GLI3	WNT3A
NR1H4	SLC51B
E2F2	CCNE2
E2F3	CCNE1
SOS1	CCND3
SOS2	SPRY3
STAT5A	MYC
RBPJ	HES1
SP3	CDKN1A
USF1	CTSB
ETS1	IL5
JUND	IL5
CEBPB	IL6
FOS	MT1A
CEBPE	MYB
EGR1	MYB
ESR1	MYC
JUN	MYC
TFAP2A	MYC
TP53	MYC
