DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	NFKB1
GNAI1	HRAS
HRAS	JUN
MAPK1	ELK1
ELK1	EGR1
MAPK1	RELA
MAPK1	ETS1
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
AKT3	RELA
CALM1	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
CALM2	HRAS
CALM3	HRAS
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
PIK3R5	AKT3
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
HNF1A	HNF4A
CREB3L2	MITF
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100509457
RFX5	HLA-DRB4
RFX5	HLA-DRB5
ETS1	CD79B
SP1	CD83
SP3	CD83
EGR1	CD9
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
