TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	TP53
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
MAPK8	ATF2
AKT3	ATF4
AKT3	CREB3
AKT3	ATF6B
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
SMAD3	TFDP1
TFDP1	E2F1
SMAD3	SP1
TFDP1	E2F2
TFDP1	E2F3
RAF1	NFKB1
NFKB1	MYB
MAPK8	ELK1
ELK1	EGR1
NFKB1	HIF1A
RAF1	MAPK1
MAPK1	MYC
MAPK8	JUN
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
MAPK1	STAT1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREBBP	VEGFC
PAX6	PDX1
LEF1	MITF
PIK3R2	AKT3
CREB3L4	MCL1
ATF4	MCL1
PPARA	SCP2
PPARD	FABP3
RXRA	NR1H3
RXRA	CYP8B1
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DRB1
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK12	IL1A
USF1	SERPINE1
USF2	XRCC6
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
TFAP2A	ADM
CREB1	ADRB2
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
RELA	CSF2
ETS1	CSNK2A1
SP3	CTSL
ETS1	DNTT
MYC	EIF4E
PPARG	GADD45A
TFAP2A	GPX4
CREB1	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
JUN	TIMP1
