HTR4	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB5
TP53	TP73
GNAS	SRC
SRC	STAT3
STAT3	CCND1
CCND1	RB1
RB1	E2F1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
RB1	E2F2
RB1	E2F3
SRC	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
STAT3	ESR1
ESR1	SP1
MAPK1	ETS1
ETS1	SPI1
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
PIK3R5	HIF1A
HIF1A	ARNT
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
CTNNB1	LEF1
LEF1	YAP1
STAT3	MYC
STAT3	FOXO3
FOXO3	BCL6
STAT3	STAT1
PRKACA	CREM
GNB5	MAPK14
MAPK14	CEBPB
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	ATF2
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB5
MAPK1	CCND1
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	PIK3R5
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
SMAD2	SP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	MYC
MAPK1	FOXO3
MAPK1	STAT3
MAPK1	STAT1
HRAS	PLCE1
PLCE1	PRKACA
HRAS	MAPK14
PML	JUP
RARA	JUP
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
NFKB1	BIRC2
NFKB1	XIAP
GLI1	BMP4
GLI1	WNT2
GLI1	WNT3A
GLI2	WNT16
TP53	GADD45G
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFAT5	TNF
EGR2	FASLG
NFATC1	TNF
CREB5	IL8
CREBBP	ALDOA
CREBBP	HMOX1
CREBBP	VEGFC
EP300	ALDOA
EP300	HMOX1
EP300	VEGFC
HIF1A	ALDOA
HIF1A	HMOX1
HIF1A	TEK
SMAD2	CTGF
TEAD1	CTGF
TEAD4	SOX2
STAT5A	SOCS2
STAT6	CCND1
CREB3L2	MITF
VDR	S100G
NFKB1	NFKB2
NFKB1	CCL4
NFKB1	CFLAR
RELA	VCAM1
PIK3CG	AKT1
PIK3R3	AKT1
MAX	CKS1B
MYC	VEGFB
NFKB1	TRAF3
NFKB1	TRAF5
NFKB2	TRAF5
FOXO3	BCL2L11
FOXO3	PCK2
FOXO3	RBL2
PPARA	DBI
PPARA	SCD5
PPARD	CPT1C
PPARD	CPT1B
PPARG	ACSL1
RXRA	SLC27A4
RXRA	CPT2
RXRA	CYP7A1
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
RXRB	ME1
RXRB	OLR1
NFYB	HLA-DMB
NFYB	HLA-DOA
MAPK1	IL1B
MAPK11	IL12B
MAPK9	IL1B
MAPK9	IL6
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
SP1	CDKN1C
ATF2	CCND1
SP1	CCND1
STAT3	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
ATF2	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP1	CYP17A1
SP3	CYP17A1
SP1	DKC1
ETS1	HPGD
NFIC	HRAS
CEBPA	ICAM1
CREB1	ICAM1
CREM	ICAM1
ETS2	JUN
NFIC	JUN
ATF1	LDHA
SP1	LDHA
SP2	MAT2A
SP3	MAT2B
BCL3	NFKB2
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
TP53	RELA
RARB	S100A9
SP1	SERPINB2
SP1	SPN
SP1	TAF7
NFKB1	TFPI2
JUN	TIMP1
CEBPA	TK1
ETV4	TNF
JUN	TP53
SP1	TPI1
USF1	TYMS
SMAD3	ZFP36
