HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	STAT1
STAT1	MYD88
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
DRD2	PPP2CA
PPP2CA	IRAK1
IRAK1	MYD88
IRAK1	IRF7
DRD2	GNAI1
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GRIA2	GRIN1
GRIN1	CALML6
CALML6	CAMK2A
CAMK2A	STAT1
GRIA2	LYN
LYN	BTK
BTK	CHUK
LYN	PIK3R5
GRIA3	GRIN1
GRIA3	LYN
EP300	FASLG
NFKB1	IL6
CREBBP	FLT1
CREBBP	NOS3
EP300	FLT1
EP300	NOS3
HIF1A	FLT1
HIF1A	NOS3
SOS1	BCL2L1
RXRB	CYP27A1
RXRG	CPT1C
TP53	S100B
ESR1	SERPINE1
CEBPA	TF
CREB1	TFRC
ATF2	TNF
SPI1	TNF
STAT3	TRH
SP1	UBE2L3
