DRD2	GNAI1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
GNAI1	MAPK1
MAPK1	RELA
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	NFKB1
MAPK1	SMAD2
SMAD2	SP1
PIK3R5	MTOR
MTOR	PPARG
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
DRD1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
RAF1	NFKB1
HRAS	MAPK1
CALM1	ADCY1
CALM1	HRAS
CALM1	CAMK2A
CREBBP	ARNT
CREBBP	SP1
CALM2	ADCY1
CALM2	HRAS
CALM2	CAMK2A
CALM3	ADCY1
CALM3	HRAS
CALM3	CAMK2A
ELK1	BIRC2
CREB1	PCNA
ATF6B	IL8
RELA	MMP9
CREBBP	CDKN1A
CREBBP	ENO1
CREBBP	PGF
EP300	CDKN1A
EP300	ENO1
EP300	PGF
HIF1A	CDKN1A
HIF1A	ENO1
STAT4	CCND3
STAT5B	CCND2
ETS1	VEGFB
NFKB1	CCND1
MAPK9	IL18
SP1	COL4A2
USF2	CCNB1
USF2	CEACAM5
ESR1	PTMA
SP1	RPL10
RARA	S100A8
ETS1	SLC26A3
ETS2	SPP1
POU2F1	SPP1
HOXA5	TH
JUND	TIMP1
STAT1	TIMP1
SP3	TNNC1
NFKB1	TP53
STAT1	TP53
