CREB5	BDNF
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MYC	CCND1
ELK1	XIAP
JUN	CCND2
CREBBP	FASLG
FOS	MMP9
CREB3L2	IL8
CREB3L3	IL8
CREBBP	EGF
CREBBP	GAPDH
CREBBP	BCL2
CREBBP	TFRC
EP300	EGF
EP300	GAPDH
EP300	BCL2
EP300	TFRC
HIF1A	EGF
HIF1A	GAPDH
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	ENO1
YAP1	ID4
YAP1	NKD1
WWTR1	SERPINE1
TEAD1	BIRC5
TEAD4	AXIN2
STAT4	CCND3
STAT5B	SOCS4
STAT5B	CCND2
RELA	CCL4L1
RBPJL	HES5
BBC3	TP53AIP1
TP53	IGFBP3
TP53	STEAP3
TP53	RPRM
TP53	RRM2
EPAS1	VEGFC
RXRA	APOA2
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	IL1A
NFIC	TINAGL1
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
CEBPA	ABCB1
CEBPB	ABCB1
SP3	CCND1
TP53	CCND1
USF1	CCND1
USF2	CEACAM5
REL	CSF2
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
CEBPB	IL4
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
NFIC	PLAT
USF1	PTPN6
MYBL2	RBL1
USF1	S100A6
NFKB1	SAA2
EGR1	SOD1
MYBL2	SP1
LEF1	SPP1
CREB1	TF
EGR1	THBS1
CREB1	TIMP1
SP1	TIMP1
CEBPB	TNF
TFAP2A	TNPO1
MYC	TP53
PAX8	TP53
FOS	TSHB
ETS1	VWF
ETS2	VWF
NFIC	VWF
