CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	CREB1
MAPK1	ETS1
MAPK1	STAT3
MAPK1	STAT1
HRAS	MAPK8
MAPK8	JUNB
HRAS	FOS
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	ESR1
GNAQ	DVL1
DVL1	GSK3B
GSK3B	ARNTL
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
HRAS	RAF1
RAF1	NFKB1
MAPK1	TP53
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	HRAS
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB1
PRKCA	FOS
CREB1	PER1
PER1	ARNTL
PER1	NPAS2
PER1	CLOCK
PRKCA	RAF1
GLI3	WNT5A
GLI3	WNT11
GLI3	WNT9B
NR1H4	SLC51A
NR1H4	ABCB11
SMAD2	CDKN1A
SMAD3	CDKN2B
CREB1	IL8
IRF3	IFNB1
MAPK8	JUN
CREB5	PCNA
CREBBP	ANGPT1
CREBBP	ANGPT4
CREBBP	HKDC1
EP300	ANGPT1
EP300	ANGPT4
EP300	HKDC1
HIF1A	ANGPT1
HIF1A	ANGPT4
NFYA	LOC101060835
MAPK1	TNF
MAPK8	IL18
MAPK11	IL12B
RFXAP	HLA-DRB5
RFXANK	HLA-DMB
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CCND1
TFAP2C	ESR1
NFKB1	F3
REL	F3
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
JUN	MT1A
ETV4	MYB
WT1	MYB
MYBL2	MYC
POU2F1	MYC
SP3	MYCN
TP53	NFIC
CREB1	REN
RELA	SAA2
PPARD	SERPINE1
ETS1	SPP1
ESR1	TFF1
ATF1	TG
JUNB	TIMP1
CEBPD	TNF
ETS1	TNNC1
NFIC	TP53
JUN	TSHB
PAX1	VHL
