CYP19A1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	CREB1
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	MYC
PRKCA	HRAS
HRAS	JUN
PRKCA	CREB3
PRKCA	CREB3L2
PRKCA	CREB3L1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PRKCA	MTOR
MTOR	PPARG
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MAPK1	TP53
IFNG	ICAM1
TNF	VCAM1
CREB3L4	FOSB
ATF4	FOSB
TFDP2	CCNE2
MAPK11	CXCL1
RBPJL	CR2
STAT2	PIM1
STAT2	CCND1
STAT3	SOCS4
STAT3	SOCS1
STAT4	CCND3
STAT5B	CCND2
MAPK3	CCND1
PIK3CG	AKT3
PIK3R3	AKT3
FOS	VEGFB
HIF1A	TGFB1
CREB1	BCL2
CREB3L1	MCL1
PPARA	ACOX1
PPARD	UCP1
PPARG	UCP1
RXRA	ACSL3
RXRB	OLR1
RXRG	FABP4
IRF7	IFNA10
MYD88	IFNA13
NFKB1	IL1A
NFYA	HLA-DMA
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK9	IL1B
MAPK9	IL6
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CD99
MYC	CDC25A
E2F4	CDC45
USF2	CEACAM5
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
ATF2	IFNG
STAT1	IFNG
CEBPD	IL1B
SPI1	IL1B
SPI1	NFKB1
ETS1	PPP2R4
ATF4	PTGS2
