CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	MYC
HRAS	RAF1
RAF1	NFKB1
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	ELK1
ELK1	EGR1
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
PRKCA	CREB3
PRKCA	ATF2
PRKCA	ATF6B
PRKCA	ATF4
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKCA	RAF1
PRKCA	PRKACA
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
NR3C2	FXYD2
NR3C2	SCNN1B
CREB3	ARC
CREB1	ARC
ATF2	ARC
CREB3L1	ARC
RELA	BCL2L1
GLI1	WNT11
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EGR3	FASLG
CREBBP	FIGF
EP300	FIGF
HIF1A	FIGF
STAT5A	SOCS1
STAT6	PIM1
HNF1A	HNF4G
RFXAP	LOC100507709
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
REL	EGFR
TFAP2A	ERBB2
PPARG	ESR1
STAT5B	ESR1
ERG	HMOX1
POU2F1	IL4
CEBPB	IL5
JUN	IL5
POU2F2	IL5
CEBPA	IL6
CREB1	IL6
NFIC	IL6
USF1	IL6
ATF1	JUN
TFAP2A	KRT14
POU2F1	LPL
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARG	S100A9
TFAP2A	TAF7
ATF1	TNF
CREB1	TRH
