SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	MAPK1
MAPK1	STAT3
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKCA	CREB1
HRAS	JUN
MAPK1	ETS1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
CREB3	ATF1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
ETS1	SPI1
MAPK1	TP53
TP53	TP73
MAPK1	SMAD2
SMAD2	SP1
CREB3	FOSB
NFKB1	NFKB2
STAT3	PIM2
SMAD4	CDKN2B
TFDP1	CCNE2
TFDP2	CCNE2
TP53	GADD45G
CREB3L4	IL8
NFKB1	TNF
CREBBP	ENO3
CREBBP	SERPINE1
EP300	ENO3
EP300	SERPINE1
HIF1A	ENO3
HIF1A	SERPINE1
SMAD2	CTGF
STAT5A	CCND3
RBPJL	HES1
TP53	RCHY1
TP53	PIDD
MYD88	IFNA10
NFYA	HLA-DOA
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRB3
POU2F2	REL
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
CREB1	F3
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
E2F4	HSP90B1
BCL6	NFKB1
CEBPB	NFKB1
SPI1	NFKB1
BCL3	NFKB2
RARG	S100A8
PPARA	SERPINE1
SP1	SPP1
JUN	TFRC
TFAP2A	TIMP1
ERG	TNNC1
USF1	TP53
HIF1A	VHL
