HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
MAPK1	STAT3
MAPK1	ATF4
MAPK1	STAT1
MAPK1	ETS1
STAT3	STAT4
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
PIK3R5	HIF1A
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	SMAD2
SMAD2	E2F4
HRAS	MAPK14
MAPK14	CEBPB
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CREBBP	EPAS1
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	MAPK1
PRKACA	ATF4
PRKACA	CREBBP
CREBBP	STAT4
PRKACA	PPARA
PPARA	RXRA
NFKB1	HIF1A
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK8	SMAD3
SMAD3	E2F4
RAPGEF3	MAPK14
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	NFKB1
GSR	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
PRKCA	ATF4
JAK2	STAT1
JAK2	STAT4
PRKCA	PAX8
PAX8	RXRA
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
PRKCA	ATF2
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
NFKB1	CEBPB
PRKCA	EGLN2
EGLN2	EPAS1
STAT3	PIM1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EP300	NOS2
TEAD1	BIRC2
TEAD3	MYC
NFKB2	CXCL12
RELA	GADD45B
PIK3CB	AKT2
RBPJ	PTCRA
RFX5	CD74
RFXAP	LOC100507709
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
NFKB1	B2M
SP3	CD14
EGR1	CD44
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
SP1	CYP17A1
SP3	CYP17A1
MYC	EIF4E
ETS1	FOSL1
NFIC	HSPA1A
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP3	TNF
