TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	CREB1
MAPK8	TP53
PRKACA	RELA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	XBP1
XBP1	CEBPA
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK8	FOS
MAPK1	ETS1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
NFKB1	NFKB2
MAPK1	STAT3
PRKACA	ATF1
CREB3L2	BDNF
CREB3L1	BDNF
CREB5	FOSB
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
HIF1A	BCL2
ARNT	ENO1
TEAD4	AXIN2
TEAD4	CCND2
STAT5A	CCND3
VDR	ATP2B1
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
CREB1	HLA-DPB1
NFYB	HLA-DQB1
NFYB	HLA-DRA
MAPK8	IL18
MAPK8	IL23A
MAPK11	IL1B
MAPK11	IL6
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	SAT1
SP1	CDKN1C
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
SP1	CAV1
SP1	CCND1
SP3	CCND1
TP53	CCND1
USF1	CCND1
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
USF1	CTSB
CEBPA	FN1
TFAP2A	GH2
USF1	GH2
USF2	GH2
POU2F2	IL2
STAT3	IL2RA
STAT5A	IL2RA
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
POU2F1	VWF
