HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
PDE4A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	RELA
MAPK8	JUN
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	NFKB1
AKT2	RELA
AKT2	JUN
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
NFKB1	CCL5
MAPK12	IL8
CREB3L4	PCNA
MAPK9	SMAD4
CREBBP	EPO
CREBBP	PFKFB2
EP300	EPO
EP300	PFKFB2
HIF1A	EPO
HIF1A	PFKFB2
SOS1	SPRY3
STAT5A	MYC
STAT6	SOCS7
MAPK3	CDK4
NFKB1	CCL4L2
NFKB1	PTGS2
PIK3R1	AKT3
RXRB	ACSBG1
NFYA	HLA-DQA1
USF2	ABCA1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
ATF1	PPP2R4
ATF2	PTGS2
RARA	S100A9
USF2	SERPINE1
NFIC	STMN1
ATF1	TH
E2F4	TK1
NFKB1	TNNC1
WT1	TP53
ETV4	VIM
