HRH2	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	RAC1
RAC1	NFKB1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ELK1
ELK1	EGR1
SRC	PIK3R5
PIK3R5	HIF1A
SRC	HRAS
HRAS	JUN
RAC1	RELA
MAPK1	IFNG
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
MAPK1	TP53
MAPK1	ETS1
STAT3	STAT1
PRKACA	ATF1
STAT3	CPT1A
CREB3	NPY
ATF6B	IL8
SMAD3	MYC
CREBBP	ENO1
CREBBP	HK1
EP300	ENO1
EP300	HK1
HIF1A	ENO1
HIF1A	HK1
STAT5A	SOCS1
STAT6	PIM1
RXRB	APOC3
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
RFX5	HLA-DQA1
RFX5	CD74
RFXAP	LOC100507709
MAPK12	IL1B
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
SP3	CDKN1A
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
NFIC	CYP17A1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
E2F1	HIST1H2AM
ATF1	ID2
STAT5B	IFNG
RARA	S100A8
SPI1	SCARB2
POU2F1	SPP1
EGR1	TFPI2
STAT1	TIMP1
EGR4	TNF
STAT1	TP53
JUN	TXN
