PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	SMAD2
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	YAP1
MAPK8	SMAD4
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK8	JUN
SMAD3	WWTR1
PRKACA	NFKB1
PRKACA	CREB1
NFKB1	HIF1A
MAPK8	ELK1
ELK1	EGR1
PRKACA	RELA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
RAPGEF3	MAPK14
MAPK14	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
CREB3L1	FOS
NFKB1	BIRC3
RELA	BIRC7
GLI1	WNT1
GLI1	WNT2B
GLI2	GLI1
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
RXRB	PCK2
RXRB	SCP2
RXRG	GK
RXRG	APOA2
RXRG	SLC27A1
RXRG	PCK2
RXRG	PLTP
RXRG	ACOX2
JUN	IL12A
JUN	CCL5
NFKB1	CCL3L3
RELA	CCL3L1
SPI1	CD14
CREB1	HLA-DOA
RFXAP	HLA-DOA
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
MYB	TSC22D3
MYBL1	TSC22D3
JUN	ALDOA
POU2F1	ALDOC
SP1	CD14
ESR1	CGA
ETS2	CGA
REL	F3
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ATF2	JUN
JUN	JUN
SP1	KRT18
CREB1	LDHA
NFKB1	LTA
SP1	MAT2B
NFKB1	VWF
