HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
HRAS	JUN
HRAS	RAF1
RAF1	NFKB1
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	MYC
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SMAD2	E2F4
PIK3R5	MTOR
MTOR	PPARG
MAPK8	SMAD4
MAPK10	JUN
CREBBP	PDK1
CREBBP	PFKFB3
EP300	PDK1
EP300	PFKFB3
HIF1A	PDK1
HIF1A	PFKFB3
PAX6	PDX1
MAPK3	CCND1
NFKB1	CXCL2
RELB	TNFSF13B
PIK3CG	AKT2
PIK3R3	AKT2
MAX	CKS1B
NFKB2	TRAF5
IRF1	IL12A
PPARA	DBI
PPARA	ACADM
PPARG	ACSL1
PPARG	PCK2
MYD88	IFNA21
NFYA	HLA-DQB1
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MYB	TSC22D3
MYBL1	TSC22D3
USF1	ABCA1
CREB1	ADRB2
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
CREB1	CYP11A1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
PPARG	SERPINE1
JUN	SFTPA1
CREB1	TG
CREB1	TH
FLI1	TNNC1
SMAD2	TNNC1
TFAP2A	VHL
ERG	VWF
