ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
GNAI1	HRAS
HRAS	JUN
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PDE4B	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
RYR1	CALML6
CALML6	CAMK2A
CALML6	HRAS
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PDE5A	HPRT1
HPRT1	PDE3B
PDE6C	HPRT1
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE6A	HPRT1
PDE6B	HPRT1
PRKDC	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
TP53	PTEN
PTEN	AKT3
AKT3	JUN
PIK3CD	HIF1A
PIK3CD	AKT3
PIK3CA	HIF1A
PIK3CA	AKT3
PIK3CB	HIF1A
PIK3CB	AKT3
ITPR1	CAMK2A
ITPR1	CALML6
ITPR2	CAMK2A
ITPR2	CALML6
ITPR3	CAMK2A
ITPR3	CALML6
ATM	TP53
CTNNB1	CCND2
MAPK10	SMAD4
MAPK13	IL1B
MAPK13	IL18
USF2	PTGS2
POU2F1	SFTPA1
