PTGFR	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	ETS1
MAPK1	MYC
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	STAT3
HRAS	JUN
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	FOS
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
CREBBP	EPAS1
STAT3	PIM2
NFKB1	BIRC2
NFKB1	BIRC7
GLI1	BMP4
GLI1	WNT6
GLI1	WNT3A
GLI2	HHIP
GLI3	WNT5A
SMAD3	MYC
MAPK9	SMAD4
CREBBP	HK1
CREBBP	PFKFB2
EP300	HK1
EP300	PFKFB2
HIF1A	HK1
HIF1A	PFKFB2
LEF1	CCND2
LEF1	CCND3
TCF7	CCND3
TCF7L2	BIRC2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB2	ICAM1
RELA	GADD45B
RELA	PLAU
RELB	CCL13
PIK3CA	AKT1
PIK3CB	AKT2
PIK3R1	AKT3
RBPJL	PTCRA
FOXO3	PCK2
CREB3L2	BCL2
PPARD	CPT1C
PPARD	ANGPTL4
RXRA	CPT2
RXRA	FABP1
RXRB	ANGPTL4
RXRB	PLTP
NFYB	HLA-DQB1
NFYB	HLA-DRA
MAPK1	IL6
MAPK12	IL6
USF1	XRCC6
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
USF2	CEACAM6
ATF1	CGA
USF2	CTSB
SP1	CTSL
POU5F1	HMGB2
E2F4	HSP90B1
ETS2	JUN
SMAD4	JUN
ATF1	LDHA
SP3	LHB
SP2	MAT2A
JUN	MGP
JUN	MT1A
SPI1	SCARB2
USF2	SERPINE1
EGR1	TFPI2
ATF1	TH
EGR4	TNF
NFKB1	TNNC1
JUN	TXN
ETV4	VIM
