HRH1	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	ESR1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	TP53
MAPK1	ETS1
HRAS	RAF1
RAF1	RELA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
RAF1	NFKB1
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	MAPK1
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	TP53
PRKACA	RELA
CREBBP	SP1
PRKACA	CREB1
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
AKT2	RELA
PRKCA	CREB1
AKT2	NFKB1
CREB3L3	FOSB
CREB3L1	NPY
CREB3L4	PDYN
CREB3L2	PDYN
RBPJ	FCER2
CTNNB1	CCND3
CREB1	PCNA
RELA	IL6
CREBBP	CDKN1A
CREBBP	PFKL
EP300	CDKN1A
EP300	PFKL
HIF1A	CDKN1A
PAX6	GCK
RELA	PTGS2
PIK3CD	AKT3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL18
RFXAP	HLA-DRB3
MAPK12	IL1B
SP1	CAV1
SP2	CD14
SP3	CYP17A1
STAT1	EGFR
CEBPB	F8
AR	F9
NFKB1	FBP1
PAX5	FCER2
CEBPA	FN1
RELA	IL2
STAT1	IL2RA
STAT4	IRF1
CEBPA	IVL
PPARG	PTGS2
MYC	PTMA
SP1	RPL10
NFIC	SFTPC
ETS2	SPP1
HOXA4	TH
JUND	TIMP1
SMAD4	TNNC1
NFKB1	TP53
