DRD2	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	RELA
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
ADRA1A	GNAQ
GNAQ	HRAS
ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	AKT3
AKT3	RELA
PRKAG2	CRTC2
CRTC2	CREB1
CRTC2	CREBBP
CREBBP	SP1
CALM1	HRAS
HRAS	RAF1
RAF1	RELA
CALM1	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
PLCD3	PRKCA
PRKCA	CREB1
PIK3R5	HIF1A
HIF1A	CREBBP
CREB3	FOSB
TP53	PTEN
SP1	CDKN1C
USF2	CTSB
SP1	CTSL
JUND	F3
CEBPA	FN1
STAT5A	IFNG
