CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAPK1
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	JUN
MAPK1	MYC
MAPK1	CREB1
HRAS	FOS
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	STAT3
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
PRKCA	MAPK1
PRKCA	RAF1
PRKCA	PRKACA
PRKCA	HRAS
PRKCA	CREB1
PRKCA	FOS
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
GLI3	HHIP
TP53	GADD45G
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	BIRC5
STAT4	CCND3
STAT4	SOCS3
STAT5B	CCND2
STAT5B	CCND3
PAX6	PDX1
CREB1	MITF
RELA	CCL4
RELB	CXCL12
PIK3R2	PDPK1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
RFXAP	HLA-DOA
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
MAPK12	IL1B
CREB1	ADRB2
ATF1	AQP3
CREB1	ARG1
ATF3	ASNS
CREB1	ATP1A1
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
STAT3	CSRP1
MYC	CSTB
NFKB1	CTSB
RELA	CTSB
JUN	F3
JUND	F3
POU2F1	HIST2H2BE
FOS	HLA-DRA
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
FLI1	MMP9
BCL3	NFKB2
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
SP1	PLAU
