CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	NR1H3
NR1H3	RXRA
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
MTOR	PPARG
PRKCA	CREB1
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	ATF2
PRKCA	ATF4
OGT	AKT3
AKT3	NFKB1
PRKCA	MAPK1
MAPK1	ETS1
OGT	GSK3B
GSK3B	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKCA	HRAS
HRAS	MAPK8
MAPK8	JUND
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS2
GLI3	WNT3
STAT3	VEGFA
JUN	FIGF
JUN	PGF
JUN	VEGFC
NFKB2	XIAP
NFKB2	TRAF1
ATF4	BCL2
CREB5	MCL1
PPARA	CYP4A11
PPARD	ACADL
PPARD	ACOX3
PPARG	CPT1B
RXRA	CYP27A1
RXRB	MMP1
MYD88	IFNA10
NFYB	HLA-DRB1
MAPK1	IL6
MAPK1	IL18
MAPK1	NOS2
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL23A
CREB5	AQP2
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	PPARD
TCF7L2	FOSL1
SP1	REL
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP1	CAV1
CREB1	CGA
FOS	MT1A
