HRH2	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HIF1A	ARNT
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
PRKACA	CREB1
MAPK1	TP53
TP53	TP73
STAT3	STAT1
HRAS	FOS
MAPK1	SMAD3
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
ATF2	PCNA
MAPK8	JUN
CREBBP	EDN1
CREBBP	ANGPT4
EP300	EDN1
EP300	ANGPT4
HIF1A	EDN1
HIF1A	ANGPT4
SMAD2	CTGF
LEF1	MITF
PIK3CB	AKT3
EPAS1	SLC2A1
EPAS1	VEGFB
FOS	PGF
NFKB2	TRAF6
PIAS2	CDKN2B
CREB3L2	BCL2
PPARA	EHHADH
PPARA	HMGCS2
PPARD	ANGPTL4
PPARG	ACSL3
PPARG	MMP1
RXRA	FABP1
NFYB	HLA-DMA
MYB	TSC22D3
MYBL1	TSC22D3
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
NFKB1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
RELA	S100A6
PPARD	SERPINE1
JUN	SPP1
ATF1	TG
SMAD4	TIMP1
ETS1	TNNC1
PAX5	TP53
PAX1	VHL
