SOAT1	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
RAF1	RELA
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
RAF1	NFKB1
MAPK8	FOS
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PLCB1	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
MAPK1	ESR1
MAPK8	JUN
MAPK8	TP53
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
RXRA	RARB
CAMK2A	STAT1
PRKCE	PPP1CA
PPP1CA	CREB1
MAPK1	ETS1
MAPK8	ELK1
ELK1	EGR1
PRKCD	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ARAF	MAPK14
MAPK14	CEBPB
MAPK8	JUND
ANPEP	GGT1
GGT1	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	FOS
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
GGT1	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
PRKCA	HRAS
HRAS	JUN
MAPK1	TP53
PRKCA	PAX8
PAX8	RXRA
JAK2	STAT1
PRKCA	CREB1
MAPK1	ELK1
PRKCA	MAP3K1
PAX8	RXRB
PAX8	RXRG
MAPK1	SMAD4
SMAD4	LEF1
PRKCA	PRKACA
HRAS	MAPK14
HRAS	MAPK8
NFKB1	CCL5
MAPK12	IL8
CREB1	PCNA
MAPK9	SMAD4
CREBBP	CDKN1A
CREBBP	PFKFB2
EP300	CDKN1A
EP300	PFKFB2
HIF1A	CDKN1A
HIF1A	PFKFB2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RBPJL	PTCRA
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	PLTP
RXRB	ACSBG1
NFYA	LOC100507714
NFYA	LOC100509457
NFYB	HLA-DOB
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
NFKB1	REL
POU2F1	REL
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
USF2	APOE
TP53	AQP1
SP3	CD14
EGR1	CD44
ATF4	CGA
CREB1	CGA
NFIC	CYP17A1
SP1	DKC1
SP3	DKC1
SP1	EGFR
STAT1	EGFR
MYC	EIF4E
E2F1	HIST1H2AM
ATF1	PPP2R4
ATF2	PTGS2
SP1	RPL10
USF2	SERPINE1
ETS2	SPP1
ATF1	TH
JUND	TIMP1
NFKB1	TNNC1
NFKB1	TP53
ETV4	VIM
