AGTR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	MAPK1
MAPK1	SMAD4
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
MAPK1	MYC
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
PPARG	RXRA
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
SREBF1	IRS2
IRS2	GRB2
GRB2	MAPK1
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
THRA	BMP4
BMP4	ACVR1
ACVR1	SMAD1
ACVR1	SMAD5
ACVR1	SMAD9
THRB	MYC
PRKACA	ATF1
HIF1A	VEGFB
ARNT	NOS2
ARNT	PFKFB4
STAT4	CCND3
STAT5B	CCND2
RXRA	MMP1
RXRA	PCK2
RXRG	EHHADH
IRF7	IFNA8
LEF1	ADA
NFIC	ADA
USF2	CEACAM5
