AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	SMAD4
MAPK1	SMAD3
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CREBBP	EPAS1
GSK3B	GLI2
GSK3B	GLI3
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
CREB3L1	ARC
RELA	BCL2L1
GLI1	WNT11
ARNT	ENO3
PAX6	PDX1
MITF	TYRP1
RELA	GADD45B
PIK3CB	AKT2
RXRA	SLC27A1
RXRA	LPL
MYD88	IFNA21
NFYA	LOC101060835
NFYA	HLA-DQA2
NFYB	HLA-DRB1
RFX5	LOC100507709
USF2	XRCC6
CREB1	ADRB2
GLI1	BCL2
ATF1	BCL2
SP3	CDKN1A
ATF2	HLA-E
USF1	HMOX1
USF2	HMOX1
ATF1	JUN
TFAP2A	KRT14
POU2F1	LPL
