DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	ELK1
ELK1	EGR1
MAPK1	MYC
MAPK1	TP53
GNAI1	HRAS
HRAS	JUN
MAPK1	CREB1
MAPK1	ATF2
HRAS	FOS
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	ETS1
GNAI1	MAPK3
GNAI1	MAPK14
MAPK14	CEBPB
NFKB1	NFKB2
MAPK1	STAT3
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
HRAS	MAPK3
HRAS	MAPK14
DRD1	GNAS
GNAS	SRC
SRC	STAT3
CALM1	CAMK2A
CREBBP	SP1
CALM1	HRAS
CAMK2A	CREB1
CAMK2A	ATF2
CREBBP	ARNT
CALM2	CAMK2A
CALM2	HRAS
CALM3	CAMK2A
CALM3	HRAS
CREB3	FOSB
CREB1	FOSB
TP53	GADD45A
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	BIRC5
TCF7L2	CCND1
ELK1	XIAP
NFAT5	TNF
ATF6B	IL8
NFATC2	TNF
CREB3L2	IL8
CREB5	IL8
CREBBP	ENO1
CREBBP	LDHA
CREBBP	BCL2
CREBBP	VEGFC
EP300	ENO1
EP300	LDHA
EP300	BCL2
EP300	VEGFC
HIF1A	ENO1
HIF1A	LDHA
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	AKT1
PIK3R2	PDPK1
RXRA	GK
RXRA	GK2
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
USF2	ABCA1
ATF1	AQP3
CREB1	AQP3
CREB1	ARG1
USF1	CCNB1
USF2	CCNB1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
USF1	CTSB
ESR1	EGFR
NFKB2	EGFR
PPARG	EGFR
STAT1	EGFR
STAT5A	IFNG
CEBPB	IGF2
JUN	NFKB2
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
SP1	PLAU
TP53	PLK1
USF1	PTPN6
TP53	RELA
RARA	S100A8
CEBPA	SERPINC1
EGR1	SOD1
SP1	SPN
POU2F1	SPP1
POU2F1	TFPI2
EGR1	THBS1
JUN	TIMP1
STAT1	TIMP1
POU2F1	TNF
TFAP2A	TNPO1
JUN	TP53
STAT1	TP53
USF2	TYMS
ETS1	VWF
ETS2	VWF
NFIC	VWF
