HTR4	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PRKACA	CREB1
SRC	STAT3
STAT3	STAT1
MAPK1	ELK1
ELK1	EGR1
SRC	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
SRC	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
STAT3	ESR1
ESR1	SP1
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PRKACA	ATF2
AKT3	IRF3
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
MAPK1	CREB1
MAPK1	STAT1
MAPK1	SMAD4
SMAD4	LEF1
HRAS	PIK3R5
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAP3K1
MAP3K1	IKBKG
MAPK1	ATF2
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
NFKB1	BIRC7
GLI1	WNT6
GLI2	HHIP
GLI3	PTCH1
CREB3L3	MITF
FOS	PGF
JUN	MMP2
RXRA	ACSBG2
RXRA	ACOX3
RXRB	ACADM
RXRB	ILK
RXRB	ACSL5
RXRG	ACAA1
RXRG	MMP1
RXRG	UBC
JUN	CCL3L3
RELA	IL12A
CREB1	LOC100509457
MAPK8	IL12A
MAPK8	IL12B
RFX5	HLA-DQB1
TCF7L1	PPARD
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
SP1	AKR1B1
POU2F1	AKR1C3
CEBPA	ALB
CEBPB	ALB
SP1	ALDH3A1
NFIC	ARG1
SMAD4	JUN
SP3	LHB
JUN	MGP
ETV4	MMP9
