AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	TP53
RAF1	RELA
HRAS	PIK3R5
PIK3R5	HIF1A
PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	SP1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
CTNNB1	LEF1
LEF1	JUN
PIK3R5	GSK3B
CREBBP	TP53
AKT3	RELA
THRB	HIF1A
CREB3L2	BDNF
CREB3L1	BDNF
CREB3L1	ARC
CREB5	PDYN
NFKB1	BIRC2
RELA	BCL2L1
GLI1	HHIP
GLI1	BMP4
GLI1	WNT11
GLI1	WNT5B
GLI1	WNT3A
STAT5A	SOCS2
STAT6	CCND1
HNF1A	FOXA3
MITF	TYRP1
POU2F2	REL
PPARG	SAT1
ATF3	ASNS
E2F+P170	CCNA2
SP1	CD14
SP1	CD83
SP3	CD83
EGR1	CD9
SP3	CDKN1A
MYBL2	COL1A1
EGR1	FN1
NFKB1	FN1
RELA	FN1
POU2F2	IL2
STAT3	IL2RA
ATF1	JUN
ESR1	JUN
ETS2	JUN
TFAP2A	KRT14
SP3	LCAT
ATF1	LDHA
POU2F1	LPL
NFKB1	MAT2A
SP2	MAT2A
