HRH1	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	CREB1
MAPK1	IFNG
NFKB1	NFKB2
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK14
MAPK14	CEBPB
PRKACA	PPARA
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREB1
NFKB1	IFNG
RAPGEF3	MAPK14
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
AKT2	NFKB1
AKT2	RELA
PRKCA	CREB1
AKT2	CHUK
CHUK	NFKB2
PRKCA	PRKACA
NFKB1	CEBPB
STAT3	CPT1C
STAT4	SOCS2
STAT5A	CCND3
STAT5B	SOCS1
EPAS1	FIGF
ETS2	TWF2
MYB	TSC22D3
MYBL1	TSC22D3
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
E2F1	HIST1H2AM
MYC	ID2
