HTR4	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
SRC	STAT3
STAT3	ESR1
SRC	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
SRC	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
ESR1	SP1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ESR1
HRAS	PIK3R5
HRAS	PLCE1
PLCE1	PRKACA
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	SMAD2
SMAD2	SP1
GLI3	BMP2
STAT4	SOCS2
STAT5B	SOCS1
CREB3L3	MITF
MAPK3	CCND1
MAPK8	IL12A
MAPK8	IL12B
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
MYBL1	TSC22D3
ATF3	ASNS
USF2	CALCA
E2F4	CAV1
STAT1	EGFR
PPARA	MMP9
