DRD2	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ETS1	SPI1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
HRAS	PIK3R5
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CALM1	ADCY1
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM2	HRAS
CALM2	CAMK2A
CALM2	ADCY1
CALM3	HRAS
CALM3	CAMK2A
CALM3	ADCY1
CREB1	MITF
EPAS1	PDGFB
EPAS1	TGFB1
ETS1	MMP1
NFKB2	TRAF2
RELA	NOS2
CREB3	BCL2
PPARA	CYP7A1
PPARA	ACSL3
PPARA	LPL
PPARG	CYP27A1
PPARG	ACSL6
PPARG	PLIN1
RXRB	ME1
MYD88	IFNA6
MAPK1	IL23A
MAPK11	IL12B
RFXAP	LOC100507714
GLI1	BCL2
ATF1	BCL2
SP2	CD14
NFKB1	CSF1
ETS1	CSF2
CREB1	HMOX1
