HRH1	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	MYC
HRAS	RAF1
RAF1	NFKB1
MAPK1	TP53
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	NFKB1
MAPK8	TP53
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	CTNNB1
CTNNB1	LEF1
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
GSR	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
AKT2	NFKB1
PRKCA	PRKACA
CREB3L3	ARC
RELA	BIRC3
GLI1	WNT8A
CREB3L3	MITF
NFKB1	CCL4L2
NFKB1	TRAF2
PIK3R1	AKT3
RBPJL	PTCRA
HIF1A	PDGFB
HIF1A	TGFA
NFKB2	BIRC7
IRF1	IL12A
PPARA	FABP1
PPARA	ACADM
PPARG	ACSL4
PPARG	PCK2
RXRB	ILK
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	SAT1
NFIC	CGA
TP53	CHEK1
JUN	IVL
PGR	KLK3
PPARG	LIPA
