AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
MAPK1	CREB1
MAPK1	SMAD4
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	SMAD3
MAPK1	ETS1
PIK3R5	AKT3
AKT3	IRF3
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	BMP2
ELK1	BIRC2
EGR2	FASLG
RELA	MMP9
CREBBP	ALDOA
CREBBP	PGF
EP300	ALDOA
EP300	PGF
HIF1A	ALDOA
FOXO1	PCK2
SOS1	SPRY3
STAT4	SOCS2
STAT5B	SOCS1
LEF1	MITF
EPAS1	SLC2A1
NFKB2	TRAF6
PPARA	EHHADH
PPARG	ACSL3
RXRA	ADIPOQ
RXRA	CD36
RXRB	OLR1
MYD88	IFNA8
MAPK9	IL1B
MAPK9	IL6
RFX5	CD74
RFXAP	LOC100507709
ETS2	TWF2
MYB	TSC22D3
MYBL1	TSC22D3
USF2	ABCA1
JUN	ALDOA
POU2F1	ALDOC
ATF1	BCL2
ATF2	CGA
STAT1	EGFR
USF1	HMOX1
USF2	HMOX1
STAT4	IRF1
CEBPA	IVL
PPARA	MMP9
ESR1	PTMA
RARB	S100A9
ETS1	SLC26A3
SP1	TAF7
HOXA5	TH
CEBPA	TK1
SP3	TNNC1
SP1	TPI1
