CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
OGT	AKT3
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
AKT3	NFKB1
AKT3	RELA
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
AKT3	CHUK
CHUK	NFKB2
PRKCA	MAPK1
MAPK1	ETS1
PRKCA	ATF4
MAPK1	ELK1
MAPK1	TP53
ATF6B	FOS
CREB3L4	PDYN
ATF4	FOS
CREB3L2	PDYN
FOS	CCND1
HIF1A	PFKFB4
HIF1A	PFKL
CREB1	MITF
TP53	SESN3
TP53	PMAIP1
RXRB	PCK1
RXRG	EHHADH
IRF7	IFNA8
MAPK1	TNF
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RELA	CEBPG
RELA	IL1A
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
MYC	CCNB1
ATF2	INS
STAT4	IRF1
SP1	ITGA2
CEBPA	IVL
JUN	PLAT
ETS1	VWF
ETS2	VWF
