CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCD
PRKCD	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKCD	SRC
SRC	STAT3
PPAP2A	PRKCE
PRKCE	ARAF
ARAF	MAPK14
MAPK14	CEBPB
PRKCE	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCE	PPP1CA
PPP1CA	CREB1
PRKCE	MAPK8
MAPK8	TP53
MAPK8	ELK1
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
PRKCE	PRKD3
PRKD3	ATF1
CAMK2A	STAT1
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
STAT4	CCND3
STAT5B	CCND2
RXRB	APOC3
RXRG	FABP3
IRF7	IFNA14
MAPK11	IL12B
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
TCF7L2	MMP7
TCF7L2	FOSL1
SP1	CD9
STAT1	EGFR
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
