HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	ETS1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	JUN
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	STAT3
HRAS	FOS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	MYC
HRAS	MAPK14
MAPK14	CEBPB
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GNAI1	HRAS
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
MAPK1	NFKB1
MAPK1	RELA
GNAI1	MAPK14
STAT3	PIM2
ELK1	CCND1
MAPK9	JUN
MAPK9	SMAD4
CREB3L2	PCNA
CREBBP	PFKFB1
CREBBP	PFKFB2
CREBBP	SLC2A1
EP300	PFKFB1
EP300	PFKFB2
EP300	SLC2A1
HIF1A	PFKFB1
HIF1A	PFKFB2
NFKB1	IL1B
NFKB1	CCL4L2
NFKB1	PLAU
NFKB1	PTGS2
NFKB2	TNFSF13B
NFKB2	ICAM1
RELB	ICAM1
RELB	CCL13
PIK3CA	AKT3
PIK3CA	AKT1
PIK3CG	PDPK1
PIK3R1	AKT3
PIK3R3	PDPK1
RBPJL	PTCRA
RXRB	SCP2
MYD88	IFNA8
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFKB1	REL
POU2F1	REL
SP2	CCND1
SP1	CD9
ATF4	CGA
TFAP2A	CYP11A1
E2F4	HSP90B1
USF2	PTPN6
SP1	SERPINE1
USF2	SERPINE1
SP1	SOD1
PAX8	TG
ATF1	TH
USF1	THBS1
JUN	TNNC1
NFKB1	TNNC1
E2F4	TOP1
ERG	VIM
ETV4	VIM
