CREB3L3	FOSB
CREB3L1	NPY
ATF6B	ARC
ATF4	ARC
TP53	GADD45G
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
JUN	RELA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB1	PCNA
ATF6B	IL8
FOS	MMP9
CREBBP	CDKN1A
CREBBP	ENO1
CREBBP	GAPDH
EP300	CDKN1A
EP300	ENO1
EP300	GAPDH
HIF1A	CDKN1A
HIF1A	ENO1
HIF1A	GAPDH
HIF1A	TFRC
ARNT	EDN1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	ID3
YAP1	AREGB
YAP1	AXIN2
WWTR1	BIRC5
WWTR1	AREG
SMAD2	SERPINE1
TEAD4	AXIN1
STAT4	CCND3
STAT5B	CCND2
PAX6	GCK
PAX6	INS
RBPJ	PTCRA
BBC3	TP53AIP1
BBC3	TP53
TP53	SHISA5
TP53	STEAP3
TP53	PTEN
TP53	RRM2
EPAS1	VEGFC
IRF8	IL12A
ATF4	BCL2
PPARA	APOA1
PPARD	ACADL
PPARG	OLR1
RXRA	CYP27A1
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MAPK1	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXAP	HLA-DMB
MAPK12	IL1B
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
SP3	ABCA1
SP1	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
TFAP2A	CDKN1A
SP2	CEACAM1
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
ETS1	DNTT
JUN	F3
JUND	F3
USF1	FBP1
PAX5	FCER2
CEBPA	FN1
CEBPA	GPX4
CREM	GPX4
CREB1	HMOX1
TFAP2A	HMOX1
RELA	IL2
STAT1	IL2RA
TP53	IL8
CEBPA	ITGA2
BCL3	NFKB2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
CREM	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RPL10
RARA	S100A8
NFKB1	SAA2
ETS2	SPP1
POU2F1	SPP1
CREB1	TF
JUND	TIMP1
STAT1	TIMP1
CEBPB	TNF
NFKB1	TP53
STAT1	TP53
FOS	TSHB
