SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKCA	MAPK1
MAPK1	STAT3
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	CREB1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
MTOR	PPARG
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
CREB3	FOSB
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
MAX	CKS1B
MAX	CKS2
NFKB2	TRAF5
NFKB2	TRAF4
PPARA	DBI
PPARA	ACSL1
PPARG	ACSL1
PPARG	ACSBG1
RXRB	MMP1
RXRB	OLR1
RXRG	ACSL3
RXRG	ACSL4
RXRG	ACADM
RXRG	APOC3
RXRG	ANGPTL4
RXRG	PDPK1
IRF7	IFNA17
IRF7	IFNA21
JUN	TNF
JUN	CCL4L1
STAT1	CXCL11
CEBPA	PER2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
STAT5A	IFNG
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
