ADRA1B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	ATF4
MAPK1	ATF2
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	ETS1
MAPK1	TP53
MAPK1	MYC
HRAS	JUN
MAPK1	SMAD2
SMAD2	E2F4
HRAS	FOS
HRAS	RAF1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	MAPK3
SMAD2	SP1
HRAS	MAPK14
MAPK14	MAX
MAPK14	CEBPB
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L3	FOSB
CREB3L1	NPY
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB1	PCNA
ATF6B	IL8
CREBBP	CDKN1A
CREBBP	ENO1
EP300	CDKN1A
EP300	ENO1
HIF1A	CDKN1A
HIF1A	ENO1
STAT3	SOCS2
STAT3	CCND3
HNF1A	HNF4A
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL18
RFXANK	HLA-DMA
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
SP1	CDKN1C
USF1	CCNB1
USF2	CCNB1
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
JUN	CYP11A1
SP1	CYP17A1
SP3	CYP17A1
ETS1	DNTT
CREB1	F3
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
RELA	IL2
STAT1	IL2RA
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RPL10
RARA	S100A8
ETS2	SPP1
POU2F1	SPP1
JUND	TIMP1
STAT1	TIMP1
NFKB1	TP53
STAT1	TP53
