PDE5A	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	RELA
PRKACA	NFKB1
NFKB1	HIF1A
MAPK1	STAT1
NFKB1	CEBPB
MAPK1	SMAD4
MAPK1	ETS1
PRKACA	EP300
CREBBP	ARNT
MAPK1	MYC
MAPK1	ESR1
CREBBP	EPAS1
PDE11A	ADCY1
ADCY1	PRKACA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK8	SMAD4
TFDP2	CCNE2
RBPJ	CR2
ELK1	XIAP
ELK1	CCND1
ELK1	CCND3
CREB3L2	IL8
CREB3L2	PCNA
TP53	CDKN1B
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	TF
EP300	BCL2
EP300	SLC2A1
EP300	TF
ARNT	PFKFB2
TEAD1	CCND1
STAT5B	CCND1
STAT6	SOCS4
RELA	GADD45B
PIK3CB	AKT2
RXRB	ACSL4
RXRB	GK2
RXRB	ACADM
NFYC	HLA-DQA2
RFX5	HLA-DQA1
RFXAP	HLA-DOA
TCF7L1	JUN
MYB	TSC22D3
MYBL1	TSC22D3
SP1	AGT
RARA	AKR1B1
SP1	CYP17A1
SP3	CYP17A1
SP1	DKC1
SP3	DKC1
STAT1	EGFR
SPI1	NFKB1
ETV4	PTGS2
USF1	PTPN6
USF2	PTPN6
E2F4	RBL1
EGR1	SOD1
SP1	SOD1
ESR1	SP1
EGR1	THBS1
USF1	THBS1
WT1	THBS1
TFAP2A	TNPO1
E2F4	TOP1
USF2	TOP3A
