HTR4	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
SRC	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
SRC	HRAS
HRAS	JUN
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	KRAS
KRAS	GRB2
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	SMAD4
SMAD4	LEF1
CREB5	FOSB
GLI3	HHIP
TCF7	BIRC5
RBPJ	FCER2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	FIGF
ARNT	TIMP1
TCF7	CCND2
TCF7L2	CCND3
TEAD3	CTGF
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
CEBPB	ABCB1
SP1	CAV1
ATF1	CGA
STAT5A	IL2RA
FLI1	MMP9
ETS2	PLAU
PPARG	PTGS2
ETS1	VWF
ETS2	VWF
NFIC	VWF
