TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	RELA
MAPK8	SMAD3
NFKB1	MYB
PRKACA	MAPK1
MAPK1	MYC
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
MAPK1	RELA
MAPK1	SMAD3
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MAPK14	CXCL1
MAPK11	CXCL1
RBPJL	CR2
STAT5A	SOCS1
STAT6	PIM1
PIK3CG	AKT3
PIK3R3	AKT3
MAPK12	IL1B
SP1	ADA
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F1	CDC25A
E2F4	CDC45
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
USF1	FBP1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
TFAP2A	POLD2
ETS1	PPP2R4
ATF4	PTGS2
