HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD3
MAPK1	ETS1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PIK3R5	GSK3B
DRD2	PPP2CA
PPP2CA	YAP1
YAP1	GLI2
CREB3L3	ARC
CREB3L1	PDYN
RELA	BIRC3
GLI1	WNT16
GLI1	WNT8A
GLI1	WNT9A
GLI2	WNT9A
GLI3	BMP4
EP300	FASLG
CREBBP	FLT1
RELA	TRAF1
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
NFYC	LOC100507714
NFYC	LOC101060835
NFYC	HLA-DPA1
MAPK9	IL1A
ESR2	CD68
SPI1	CD68
JUN	IVL
CREB1	JUN
PGR	KLK3
SP1	KRT5
PPARG	LIPA
ETS1	LYZ
ETS2	MMP3
PPARG	MMP9
TP53	S100B
CEBPA	TF
