CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PRKCE	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK8	TP53
MAPK8	SMAD4
PRKCE	ARAF
ARAF	MAPK1
MAPK1	SMAD2
PRKCE	RAF1
RAF1	NFKB1
PPP1CA	WWTR1
MAPK1	ESR1
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
RAF1	RELA
GLI3	PTCH1
GLI3	BMP2
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
STAT4	SOCS2
STAT5B	SOCS1
CREB1	MITF
RFXAP	HLA-DOA
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
ETV4	MMP9
PPARA	MMP9
NFKB1	VWF
