HRH2	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
HRAS	FOS
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
CTNNB1	CREBBP
CTNNB1	EP300
SRC	STAT3
STAT3	ESR1
ESR1	SP1
NFKB1	NFKB2
SRC	PIK3R5
PIK3R5	HIF1A
PIK3R5	AKT3
AKT3	CHUK
CHUK	IRF7
STAT3	STAT1
STAT1	MYD88
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	ATF1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
HIF1A	ARNT
PRKACA	PPARA
ATF6B	PDYN
ATF4	PDYN
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ELK1	CCND1
CREB3L2	PCNA
CREBBP	SLC2A1
EP300	SLC2A1
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
SMAD4	CTGF
STAT5A	CCND1
STAT6	MYC
RELA	TRAF2
PIK3CG	AKT3
TP53	DDB2
TP53	RRM2B
EPAS1	FIGF
RXRB	CPT2
RXRB	CYP8B1
RXRB	ACSL1
RXRG	NR1H3
RXRG	APOA5
RXRG	CYP8B1
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MYD88	IFNA17
MYD88	IFNB1
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
MYC	CCNB1
SP1	CD9
SP1	CD99
E2F4	CDC45
SP3	CTSB
E2F1	HIST1H2AM
POU2F2	HLA-DRA
ATF2	HLA-E
NFKB1	IRF1
TFAP2A	ITGA2
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
USF2	PTPN6
SP1	SOD1
USF1	THBS1
E2F4	TOP1
