HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	ELK1
ELK1	EGR1
HRAS	RAF1
RAF1	NFKB1
PDE4A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	ELK1
PRKACA	NFKB1
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
AKT2	NFKB1
MYB	TSC22D3
MYBL1	TSC22D3
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
