STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
LEF1	CCND1
TCF7L2	MYC
ELK1	XIAP
ELK1	CCND2
ATF6B	IL8
SMAD3	MYC
CREB3L2	IL8
STAT1	MYD88
CREBBP	ENO1
CREBBP	HK1
CREBBP	BCL2
CREBBP	TEK
EP300	ENO1
EP300	HK1
EP300	BCL2
EP300	TEK
HIF1A	ENO1
HIF1A	HK1
HIF1A	TIMP1
ARNT	ALDOA
ARNT	TFRC
NFKB1	HIF1A
YAP1	BBC3
YAP1	ID2
YAP1	SERPINE1
YAP1	AXIN1
WWTR1	AFP
WWTR1	ITGB2
SMAD1	ID3
SMAD4	ID1
TEAD1	SNAI2
LEF1	MITF
PIK3R2	AKT3
PIK3R2	AKT1
EPAS1	TGFA
ETS1	FIGF
ETS1	MMP2
ETS1	PGF
ETS1	CCND1
NFKB2	TRAF4
IRF1	IL12B
CREB1	MCL1
ATF6B	MCL1
CREB3L4	BCL2
PPARA	ACSL1
PPARA	APOC3
PPARA	ME1
PPARA	PLTP
PPARA	UCP1
PPARG	ACSBG1
PPARG	ANGPTL4
PPARG	SCD
PPARG	ADIPOQ
RXRA	SORBS1
RXRB	APOC3
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFKB1	IL23A
NFYA	HLA-DPB1
NFYA	HLA-DQA1
NFYB	HLA-DRB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK3	IL18
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFXAP	CD74
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
PPARG	SAT1
SP1	COL4A2
SP3	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
USF1	CCNB1
USF2	CCNB1
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
PPARG	GADD45A
RARA	GADD45A
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
ETS1	PLAU
ATF1	PLAUR
USF1	PTPN6
TP53	PTTG1
RARA	S100A8
SPI1	SCARB2
EGR1	SOD1
WT1	SOD1
POU2F1	SPP1
EGR1	TFPI2
EGR1	THBS1
USF2	THBS1
STAT1	TIMP1
EGR4	TNF
TFAP2A	TNPO1
CEBPB	TOP1
STAT1	TP53
JUN	TXN
