VDR	ATP2B1
ATP2B1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
NFKB1	CEBPB
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	STAT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
AKT3	CHUK
CHUK	NFKB2
MAPK1	ETS1
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
MAPK1	ETS2
PRKCA	PRKACA
PRKACA	PPARA
AKT3	RELA
AKT3	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	TP53
ATF6B	ARC
ATF4	ARC
HIF1A	PGK1
HIF1A	TFRC
YAP1	BIRC2
YAP1	ID1
YAP1	SNAI2
YAP1	AREGB
WWTR1	BBC3
WWTR1	BIRC5
STAT4	SOCS3
STAT5B	SOCS4
STAT5B	CCND3
CREB3L4	MITF
BBC3	TP53
EPAS1	PDGFB
NFKB2	TRAF2
NFKB2	TRAF5
PPARA	CYP7A1
PPARA	DBI
PPARG	CYP27A1
PPARG	ACSL1
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
SP3	ABCA1
MYC	CSTB
SP1	CTGF
RELA	CTSB
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TP53	IL8
CEBPA	ITGA2
NFKB1	VWF
