TACR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
NFKB1	MYB
MAPK1	ETS1
RAF1	RELA
HRAS	FOS
MAPK1	MYC
MAPK1	ELK1
ELK1	EGR1
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CREBBP	EPAS1
CAMK2A	EP300
HIF1A	ARNT
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
STAT4	SOCS3
STAT5B	CCND3
NFKB1	CXCL2
NFKB1	NFKBIA
RELA	CXCL2
RELA	NFKB2
RELA	PTGS2
RELB	TNFSF13B
RELB	CCL19
PIK3R5	PDPK1
PIK3CA	PDPK1
PIK3CD	AKT3
PIK3CG	AKT2
PIK3R1	PDPK1
PIK3R3	AKT2
RFXAP	HLA-DOA
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
STAT3	CSRP1
MYC	CSTB
RELA	CTSB
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
