HRH2	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
SRC	STAT3
STAT3	MYC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
MAPK1	ETS1
STAT3	ESR1
ESR1	SP1
NFKB1	NFKB2
CTNNB1	LEF1
LEF1	YAP1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
SRC	HRAS
HRAS	JUN
PRKACA	ATF2
HRAS	FOS
STAT3	FOXO3
STAT3	STAT1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ELK1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
GNB5	MAPK3
PRKACA	CREM
GNB5	MAPK14
MAPK14	MAX
STAT3	STAT5A
STAT3	STAT5B
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
JUP	CCND1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
JUN	CDK5
MYC	CCND1
RBPJ	CR2
RBPJ	FCER2
CTNNB1	CCND3
CREB1	PCNA
SMAD3	MYC
ATF4	PCNA
RELA	IL6
CREBBP	CDKN1A
CREBBP	HK1
CREBBP	HK3
CREBBP	PFKL
EP300	CDKN1A
EP300	HK1
EP300	HK3
EP300	PFKL
HIF1A	CDKN1A
HIF1A	HK1
HIF1A	HK3
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	SLC2A1
ARNT	ENO1
YAP1	ID4
YAP1	NKD1
WWTR1	SERPINE1
TCF7	SOX2
TCF7L2	AXIN1
TEAD1	BIRC5
TEAD4	CTGF
TEAD4	AXIN2
TEAD3	CCND1
TCF7L1	BIRC2
TEAD2	GLI2
TEAD2	CCND2
STAT3	CCND2
STAT3	SOCS5
STAT4	SOCS3
STAT5A	SOCS1
STAT5B	CCND3
STAT6	PIM1
HNF1A	HNF4A
VDR	SLC34A2
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	SERPINE1
TP53	RPRM
NFKB1	FIGF
RXRA	APOA2
MYD88	IFNA17
MYD88	IFNB1
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RFXAP	HLA-DMB
MAPK12	IL6
MYC	CSTB
RELA	CTSB
SP1	DKC1
SP3	DKC1
CREB1	HPGD
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
SP3	PFKP
NFIC	PLAT
ETV4	PTGS2
PPARG	PTGS2
MYC	PTMA
SP1	RPL10
SPI1	SCARB2
JUN	SERPINB2
NFIC	SFTPC
ETS2	SPP1
EGR1	TFPI2
NFIC	TFPI2
HOXA4	TH
JUND	TIMP1
EGR4	TNF
ETS1	TNF
SMAD4	TNNC1
NFKB1	TP53
JUN	TXN
TP53	TYMS
ETS1	VWF
ETS2	VWF
NFIC	VWF
ATF6	XBP1
