DRD2	GNAI1
GNAI1	PIK3R5
PIK3R5	HIF1A
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	NFKB1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
MAPK1	MYC
MAPK1	ETS1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	RELA
MAPK1	CREB1
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES1
TP53	BAI1
NFYB	HLA-DPA1
EGR1	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
TFAP2A	CYP11A1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
