TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	NFKB1
PRKACA	RELA
PRKACA	NFATC1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	NFATC3
PRKACA	CALML6
CALML6	PPP3CA
PPP3CA	NFATC4
NFKB1	NFKB2
PRKACA	CREB1
RAPGEF3	MAPK14
MAPK14	CEBPB
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	ATF1
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
MAPK8	SMAD3
SMAD3	RBL1
RBL1	TFDP2
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	MTOR
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
HRAS	MAPK8
HRAS	PLCG1
PLCG1	PPP3CA
GATM	NOS3
NOS3	CREB1
HRAS	MAPK14
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
NOS3	CREB3
CREB3	ATF1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
MAPK1	CCND1
CCND1	RB1
RB1	TFDP2
GLI3	GLI1
STAT4	SOCS5
STAT5B	SOCS3
TP53	SESN1
RXRB	CYP4A11
RXRG	SORBS1
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
PPARA	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
E2F4	DHFR
RELA	MMP3
