DRD2	GNAI1
GNAI1	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
SMAD2	E2F4
MAPK1	NFKB1
MAPK1	CREB1
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
HRAS	RAF1
RAF1	NFKB1
CALM1	HRAS
CALM1	CAMK2A
CREBBP	SP1
CREBBP	ARNT
CAMK2A	CREB1
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TCF7L2	MYC
ELK1	CCND1
NFATC2	TNF
CREB3L2	PCNA
CREBBP	LDHA
CREBBP	SLC2A1
EP300	LDHA
EP300	SLC2A1
HIF1A	LDHA
STAT4	CCND3
PIK3R2	AKT3
RXRG	FABP1
MAPK8	IL18
MAPK9	IL1B
MAPK9	IL6
RFX5	HLA-DPB1
MYBL1	TSC22D3
CEBPB	AFP
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
E2F1	HIST1H2AM
ATF1	PLAUR
USF2	PTPN6
CEBPA	SERPINC1
SP1	SOD1
POU2F1	TFPI2
USF1	THBS1
POU2F1	TNF
E2F4	TOP1
USF2	TYMS
