RBPJ	FCER2
CTNNB1	CCND3
ELK1	BIRC2
CREBBP	FASLG
SMAD3	MYC
MAPK9	JUN
RELA	IL6
RELA	MMP9
CREBBP	EGF
CREBBP	HK1
CREBBP	PFKFB1
CREBBP	PFKL
CREBBP	PGF
EP300	EGF
EP300	HK1
EP300	PFKFB1
EP300	PFKL
EP300	PGF
HIF1A	EGF
HIF1A	HK1
HIF1A	PFKFB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT4	SOCS1
STAT4	SOCS5
STAT5B	CCND1
STAT5B	SOCS3
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
RXRA	PLIN1
RXRB	ACSL4
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
SP2	CCND1
SP2	CD14
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
PPARA	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
E2F4	DHFR
USF1	FBP1
PPARG	PTGS2
MYC	PTMA
ESR1	PTMA
USF1	S100A6
SPI1	SCARB2
SP1	SERPINE1
NFIC	SFTPC
ETS1	SLC26A3
LEF1	SPP1
EGR1	TFPI2
PAX8	TG
HOXA4	TH
HOXA5	TH
SP1	TIMP1
EGR4	TNF
JUN	TNNC1
SMAD4	TNNC1
SP3	TNNC1
PAX8	TP53
JUN	TXN
ERG	VIM
ETS1	VWF
ETS2	VWF
NFIC	VWF
