ADRA1B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
HRAS	PIK3R5
PIK3R5	HIF1A
SMAD2	SP1
HRAS	JUN
MAPK1	TP53
MAPK1	ETS1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
EP300	NOS2
EP300	PFKFB3
STAT5A	SOCS2
STAT6	CCND1
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DQB1
NFYA	HLA-DRB3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
STAT1	EGFR
E2F1	HIST1H2AM
SP3	TNF
SMAD2	TNNC1
