CES1	UGT2B11
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	PIK3R5
PIK3R5	HIF1A
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
MAPK1	ELK1
ELK1	EGR1
MAPK1	SMAD4
MAPK1	SMAD2
MAPK1	SMAD3
PRKCA	PRKACA
PRKACA	PPARA
HIF1A	ARNT
CREBBP	SP1
OGT	AKT3
AKT3	PPP1CA
PPP1CA	YAP1
OGT	GSK3B
GSK3B	MYC
MYC	ZBTB17
MYC	PIAS2
AKT3	NFKB1
PRKCA	MTOR
MTOR	PPARG
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
RELA	BIRC8
GLI1	WNT7A
GLI2	BMP2
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
ELK1	CCND3
EGR3	FASLG
TP53	CDKN1B
CREBBP	FIGF
CREBBP	TF
EP300	FIGF
EP300	TF
HIF1A	FIGF
HIF1A	HKDC1
ARNT	EGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGF
ARNT	PGK1
HNF1A	HNF4G
MITF	TYR
TP53	PERP
ETS1	FIGF
RXRA	APOC3
RXRA	ILK
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
RXRA	ACSL5
NFYC	HLA-DQB1
TCF7L1	JUN
USF2	CALCA
E2F4	CAV1
SP1	CD14
TFAP2A	ERBB2
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
SP1	JUN
PPARA	LIPA
RARA	MIF
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
E2F4	RBL1
RARG	S100A9
ESR1	SP1
TFAP2A	TAF7
WT1	THBS1
ATF1	TNF
USF2	TOP3A
CREB1	TRH
