HRH2	GNAS
GNAS	SRC
SRC	STAT3
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
STAT3	STAT1
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAS	GNB5
GNB5	MAPK14
MAPK14	CEBPB
CTNNB1	CREBBP
CTNNB1	EP300
GNB5	MAPK1
MAPK1	TP53
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PIK3R5	HIF1A
LEF1	YAP1
MAPK1	ELK1
SRC	RAC1
RAC1	NFKB1
STAT3	STAT5A
STAT3	STAT5B
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
RXRA	RARB
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
RAC1	RELA
STAT3	MYC
LEF1	PPARD
HRAS	FOS
STAT3	ESR1
ESR1	SP1
CREB3L3	FOSB
CREB3L1	CRH
GLI3	WNT4
GLI3	HHIP
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
JUN	CDK5
JUN	NFKB1
MYC	CCND1
LEF1	MYC
TCF7	BIRC5
EGR2	FASLG
ATF4	PCNA
CREBBP	ALDOA
CREBBP	HK3
EP300	ALDOA
EP300	HK3
HIF1A	ALDOA
HIF1A	HK3
ARNT	ENO1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID4
YAP1	CCND1
YAP1	NKD1
WWTR1	FGF1
WWTR1	SERPINE1
SMAD1	ID4
SMAD4	ID2
TCF7	SOX2
TCF7	CCND2
TCF7L2	AXIN1
TCF7L2	CCND3
TEAD1	BIRC5
TEAD1	SOX2
TEAD4	CTGF
TEAD4	MYC
TEAD4	AXIN2
TEAD3	CTGF
TEAD3	CCND1
TEAD3	AXIN2
TCF7L1	BIRC2
TCF7L1	AXIN2
TEAD2	GLI2
TEAD2	CCND1
TEAD2	CCND2
SMAD4	SLC2A1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
TCF7	MITF
MAPK1	CDK4
MAPK1	CCND1
PIK3CB	AKT2
RBPJL	HES5
TP53	RPRM
HIF1A	TGFB1
MYC	IL8
MYC	VEGFC
RELA	TRAF6
CREB1	BCL2
FOXO3	CDKN1B
FOXO3	G6PC2
PPARA	CYP4A22
PPARA	ACOX1
PPARA	ACSBG2
PPARD	CPT1A
PPARG	SLC27A1
PPARG	UCP1
RXRA	APOA5
RXRA	CYP4A11
RXRB	MMP1
RXRG	FABP4
IRF7	IFNA10
MAPK1	IL18
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
CREB3L2	AQP2
CREB3L3	AQP2
USF1	XRCC6
SP3	CD14
EGR1	CD44
ATF2	CGA
CREB1	CYP11A1
TFAP2A	EGFR
TP53	EGFR
CREB1	F3
PAX5	FCER2
CEBPA	FN1
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
RELA	IL2
REL	IL2RA
ERG	MMP9
FLI1	MMP9
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
SP3	PFKP
CREB1	PLAT
NFIC	PLAT
EGR1	PLAU
ETS2	PLAU
RARB	S100A9
JUN	SERPINB2
SP1	TAF7
NFIC	TFPI2
CEBPA	TK1
ETS1	TNF
SP1	TPI1
TP53	TYMS
