DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAI1	HRAS
HRAS	JUN
MAPK1	ETS1
ETS1	SPI1
MAPK1	MYC
GNAI1	PIK3R5
PIK3R5	HIF1A
HRAS	FOS
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
CREBBP	SP1
PRKAG2	MTOR
MTOR	PRKCA
PRKCA	PRKACA
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MTOR	HIF1A
CRTC2	EP300
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREBBP
CALM1	ADCY1
ADCY1	PRKACA
HRAS	PIK3R5
CAMK2A	EP300
CREBBP	ARNT
CALM2	HRAS
CALM2	CAMK2A
CALM2	ADCY1
CALM3	HRAS
CALM3	CAMK2A
CALM3	ADCY1
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PIK3R5	GSK3B
GSK3B	MYC
PRKCA	FOS
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
MITF	TYRP1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
NFYA	LOC100507714
RFXAP	HLA-DRB4
SP1	CAV1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
