AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
PIK3R5	MTOR
MTOR	PPARG
HRAS	JUN
MAPK1	SMAD2
SMAD2	SP1
JUN	NFKB1
NFKB1	NOS3
NOS3	CREB1
JUN	FOSB
FOSB	HDAC1
HDAC1	RXRA
HDAC1	RXRB
HDAC1	RXRG
NFKB1	CEBPB
CEBPB	CIITA
JUN	TNF
TNF	MTOR
JUN	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MYC	MMP2
NFKB2	BIRC2
CREB3	BCL2
ATF2	MCL1
CREB3L3	BCL2
PPARA	LPL
PPARA	ANGPTL4
PPARD	UBC
PPARG	PLIN1
PPARG	SCD5
RXRA	ACSL1
RXRB	OLR1
RXRB	ANGPTL4
RXRB	PLTP
RXRG	ACSL4
RXRG	GK2
RXRG	ACADL
RXRG	APOC3
RXRG	LPL
RXRG	ACOX1
RXRG	PDPK1
RXRG	SCD
RXRG	SCD5
IRF7	IFNA21
JUN	IL12B
JUN	CCL3L1
JUN	CCL4L1
NFKB1	CCL3
RELA	CCL3L3
CEBPA	PER2
CREB1	LOC100507709
CREB1	HLA-DMA
MAPK1	IL18
RFXANK	HLA-DRB5
RFXANK	CD74
MYB	TSC22D3
MYBL1	TSC22D3
