AQP1	PTGER2
PTGER2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
PRKACA	ATF2
PRKACA	ATF4
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK1	SMAD2
SMAD2	E2F4
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
SRC	HRAS
HRAS	JUN
MAPK1	ETS1
PRKACA	ATF1
SRC	STAT3
STAT3	ESR1
PRKACA	PPARA
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
ESR1	SP1
TP53	CDKN1A
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
STAT4	SOCS3
STAT5A	MYC
STAT5A	SOCS2
STAT5B	CCND3
STAT6	SOCS7
STAT6	CCND1
CREB3L2	MITF
EPAS1	PGF
FOS	MMP1
NFKB2	TRAF3
RELA	MYB
PPARA	CYP8B1
PPARD	LPL
PPARG	FABP4
RXRA	EHHADH
NFYB	HLA-DOA
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RFX5	CD74
RFXAP	LOC100507709
ATF3	ASNS
CREB1	ATP1A1
SPI1	CHI3L1
USF1	CHI3L1
MYBL2	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
MYC	CSTB
NFKB1	CTSB
RELA	CTSB
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	EGFR
PAX5	FCER2
CEBPA	FN1
TAL1	NFKB1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
