CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	FOS
MAPK8	JUN
PRKCE	ARAF
ARAF	MAPK1
MAPK1	ETS1
PRKCE	RAF1
RAF1	NFKB1
RAF1	RELA
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PLCB1	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
CAMK2A	STAT1
MAPK1	MYC
CREBBP	EPAS1
PRKCE	PPP1CA
PPP1CA	CREB1
MAPK8	SMAD3
SMAD3	SP1
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
NFKB1	NFKB2
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
NFATC4	TNF
MAPK8	SMAD4
CREBBP	NOS2
CREBBP	PDK1
EP300	NOS2
EP300	PDK1
HIF1A	NOS2
HIF1A	PDK1
STAT5B	SOCS7
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB2	CXCL12
RELA	NFKB2
RELA	TRAF2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT3
PIK3CG	AKT2
PIK3R3	AKT3
PIK3R3	AKT2
STAT3	VEGFA
RXRB	APOC3
RXRB	PLIN1
NFYC	HLA-DQA2
SP1	GAST
SP2	CCND1
SP1	CD99
E2F4	CDC45
CREB1	ERBB2
ELK1	ERBB2
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
EPAS1	SERPINE1
PPARG	SERPINE1
ATF1	TFRC
CREB1	TG
SP3	TNF
FLI1	TNNC1
ESR1	UBE2L3
TFAP2A	VHL
