AR	PRKACA
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	NFKB1
NFKB1	TP53
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
MAPK1	MYC
NFKB1	MYB
MAPK1	STAT1
PRKACA	RELA
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT3
MAPK1	ESR1
CREBBP	STAT4
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT6
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	SMAD3
PRKACA	CREB1
MAPK1	FOS
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	ETS1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	MAPK3
PRKACA	MAPK14
MAPK14	MAX
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
NFKB1	HIF1A
MAPK1	ELK1
ELK1	EGR1
PRKACA	ATF1
NFKB1	NFKB2
NFKB1	CEBPB
JUP	MYC
TP53	GADD45G
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
NFKB1	CCL5
MAPK12	IL8
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EP300	PFKFB1
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS1
STAT5A	SOCS2
STAT5A	SOCS5
STAT6	PIM1
STAT6	CCND1
PAX6	INS
PAX6	PDX1
HNF1A	FOXA3
CREB3	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	PTGS2
RELB	ICAM1
RELB	CCL19
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	PDPK1
PIK3R1	AKT1
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R3	PDPK1
TP53	SERPINE1
RXRA	ACADL
RXRA	PLTP
RXRB	ACSBG1
RXRB	ANGPTL4
RXRG	FADS2
MAX	CDK4
NFKB1	CEBPB
NFKB1	IL23A
NFYB	HLA-DOB
MAPK3	NOS2
MAPK3	IL23A
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK12	IL1A
MAPK12	IL1B
SP1	COL4A2
CREB1	ADRB2
USF1	APOC3
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF2	CTSB
SP1	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
SP1	DKC1
SP3	DKC1
ETS1	DNTT
EGR1	EGFR
SP1	EGFR
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
BCL3	NFKB2
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
ATF1	PPP2R4
ATF2	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
JUN	TNNC1
